"1","0000","IBM INTERNAL      ","ZF","IBM INTERNAL      ","Z","Exclusions","21","Unassigned          ","UNAS",,"USA ","2016-07-04-05.06.14.067356"
"12","0130","MIXED FARMING - CROPS AND ANIMALS    ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"13","0130","MIXED FARMING - CROPS AND ANIMALS    ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"14","0140","AGRIC & ANIMAL HUSBANDRY SVCS(NOT VETERINARY)  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"168","2610","MANUFACTURE OF GLASS AND GLASS PRODUCTS   ","ML","Other Process      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"15","0140","AGRIC & ANIMAL HUSBANDRY SVCS(NOT VETERINARY)  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"16","0150","HUNTING, TRAPPING & GAME PROPAGATION ACT/SVCS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"17","0150","HUNTING, TRAPPING & GAME PROPAGATION ACT/SVCS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"18","0200","FORESTRY-LOGGING & RELATED SERVICE ACTIVITIES  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"19","0200","FORESTRY-LOGGING & RELATED SERVICE ACTIVITIES  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"20","0501","Fishing       ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"21","0501","Fishing       ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"22","0502","Aquaculture       ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"23","0502","Aquaculture       ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"24","1010","MINING AND AGGLOMERATION OF HARD COAL   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"25","1010","MINING AND AGGLOMERATION OF HARD COAL   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"26","1020","MINING AND AGGLOMERATION OF LIGNITE    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"27","1020","MINING AND AGGLOMERATION OF LIGNITE    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"28","1030","EXTRACTION AND AGGLOMERATION OF PEAT   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"29","1030","EXTRACTION AND AGGLOMERATION OF PEAT   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"30","1110","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS  ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"31","1110","EXTRACTION OF CRUDE PETROLEUM AND NATURAL GAS  ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"32","1120","SERVICES-OIL & GAS EXTRACTION EXCL SURVEYING  ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"33","1120","SERVICES-OIL & GAS EXTRACTION EXCL SURVEYING  ","PO","Petroleum      ","P","Chemicals & Petroleum","15","Chemicals&Petroleum ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"34","1200","MINING OF URANIUM AND THORIUM ORES    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"35","1200","MINING OF URANIUM AND THORIUM ORES    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"36","1310","MINING OF IRON ORES      ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"37","1310","MINING OF IRON ORES      ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"38","1320","MINING-NON-FERROUS ORES (NOT URANIUM,THORIUM)  ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"39","1320","MINING-NON-FERROUS ORES (NOT URANIUM,THORIUM)  ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"40","1410","QUARRYING OF STONE, SAND AND CLAY    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"41","1410","QUARRYING OF STONE, SAND AND CLAY    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"42","1421","MINING OF CHEMICAL AND FERTILIZER MINERALS   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"43","1421","MINING OF CHEMICAL AND FERTILIZER MINERALS   ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"44","1422","EXTRACTION OF SALT      ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"45","1422","EXTRACTION OF SALT      ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"46","1429","OTHER MINING AND QUARRYING N.E.C.    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"47","1429","OTHER MINING AND QUARRYING N.E.C.    ","MK","Mining       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"48","1511","PRODUCTION,PROCESSING,PRESERVING-MEAT/PRODUCT  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"49","1511","PRODUCTION,PROCESSING,PRESERVING-MEAT/PRODUCT  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"50","1512","PROCESSING,PRESERVING FISH AND FISH PRODUCTS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"51","1512","PROCESSING,PRESERVING FISH AND FISH PRODUCTS  ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"52","1513","PROCESSING & PRESERVING FRUIT AND VEGETABLES  ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"53","1513","PROCESSING & PRESERVING FRUIT AND VEGETABLES  ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"54","1514","MANUF - VEGETABLE AND ANIMAL OILS AND FATS   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"55","1514","MANUF - VEGETABLE AND ANIMAL OILS AND FATS   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"56","1520","MANUFACTURE OF DAIRY PRODUCTS    ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"57","1520","MANUFACTURE OF DAIRY PRODUCTS    ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"58","1531","MANUFACTURE OF GRAIN MILL PRODUCTS    ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"59","1531","MANUFACTURE OF GRAIN MILL PRODUCTS    ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"60","1532","MANUFACTURE OF STARCHES AND STARCH PRODUCTS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"61","1532","MANUFACTURE OF STARCHES AND STARCH PRODUCTS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"62","1533","MANUFACTURE OF PREPARED ANIMAL FEEDS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"63","1533","MANUFACTURE OF PREPARED ANIMAL FEEDS   ","DL","CP - General Processing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"64","1541","MANUFACTURE OF BAKERY PRODUCTS    ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"65","1541","MANUFACTURE OF BAKERY PRODUCTS    ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"66","1542","MANUFACTURE OF SUGAR     ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"67","1542","MANUFACTURE OF SUGAR     ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"68","1543","MANUF - COCOA,CHOCOLATE & SUGAR CONFECTIONERY  ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"69","1543","MANUF - COCOA,CHOCOLATE & SUGAR CONFECTIONERY  ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"70","1544","MANUF - MACARONI, NOODLES, COUSCOUS , ETC   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"71","1544","MANUF - MACARONI, NOODLES, COUSCOUS , ETC   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"72","1549","MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C.   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"73","1549","MANUFACTURE OF OTHER FOOD PRODUCTS N.E.C.   ","DI","CP - Food Manufacturing    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"74","1551","DISTILLING/BLENDING OF SPIRITS ETHYL ALCOHOL  ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"75","1551","DISTILLING/BLENDING OF SPIRITS ETHYL ALCOHOL  ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"76","1552","MANUFACTURE OF WINES     ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"77","1552","MANUFACTURE OF WINES     ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"78","1553","MANUFACTURE OF MALT LIQUORS AND MALT   ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"79","1553","MANUFACTURE OF MALT LIQUORS AND MALT   ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"80","1554","MANUF - SOFT DRINKS- PRODUCE MINERAL WATER   ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"623","8890","IBM IDLE","ZF","IBM INTERNAL      ","Z","Exclusions","21","Unassigned          ","UNAS",,"USU ","2016-04-05-16.17.59.906441"
"81","1554","MANUF - SOFT DRINKS- PRODUCE MINERAL WATER   ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"82","1600","MANUFACTURE OF TOBACCO PRODUCTS    ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"83","1600","MANUFACTURE OF TOBACCO PRODUCTS    ","DJ","CP - Beverages & Tobacco    ","D","Consumer Products","18","ConsumerPackageGoods","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"84","1711","PREP & SPINNING OF TEXTILE FIBRES, WEAVING   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"85","1711","PREP & SPINNING OF TEXTILE FIBRES, WEAVING   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"86","1712","FINISHING OF TEXTILES     ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"87","1712","FINISHING OF TEXTILES     ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"88","1721","MANUF-MADE-UP TEXTILE ARTICLES (NOT APPAREL)  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"89","1721","MANUF-MADE-UP TEXTILE ARTICLES (NOT APPAREL)  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"90","1722","MANUFACTURE OF CARPETS AND RUGS    ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"91","1722","MANUFACTURE OF CARPETS AND RUGS    ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"92","1723","MANUF OF CORDAGE, ROPE, TWINE AND NETTING   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"93","1723","MANUF OF CORDAGE, ROPE, TWINE AND NETTING   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"94","1729","MANUFACTURE OF OTHER TEXTILES N.E.C.   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"95","1729","MANUFACTURE OF OTHER TEXTILES N.E.C.   ","MI","Textiles      ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"96","1730","MANUF - KNITTED/CROCHETED FABRICS & ARTICLES  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"97","1730","MANUF - KNITTED/CROCHETED FABRICS & ARTICLES  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"98","1810","MANUF - WEARING APPAREL ( EXCEPT FUR APPAREL)  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"99","1810","MANUF - WEARING APPAREL ( EXCEPT FUR APPAREL)  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"100","1820","DRESSING/DYEING FUR MANUF OF ARTICLES OF FUR  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"101","1820","DRESSING/DYEING FUR MANUF OF ARTICLES OF FUR  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"102","1911","TANNING AND DRESSING OF LEATHER    ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"103","1911","TANNING AND DRESSING OF LEATHER    ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"104","1912","MANUF - LUGGAGE/HANDBAGS,SADDLERY/HARNESS,ETC  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"105","1912","MANUF - LUGGAGE/HANDBAGS,SADDLERY/HARNESS,ETC  ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"106","1920","MANUFACTURE OF FOOTWEAR     ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","USU ","2016-04-05-16.17.59.906441"
"107","1920","MANUFACTURE OF FOOTWEAR     ","RA","Retail - Apparel Manufacturing    ","R","Retail","1R","Retail              ","DIST","Distribution","WWW ","2016-07-04-05.06.14.067356"
"108","2010","SAWMILLING AND PLANING OF WOOD    ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"109","2010","SAWMILLING AND PLANING OF WOOD    ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"110","2021","MANUF- VENEER SHEETS-PLYWOOD & OTHER PANELS   ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"111","2021","MANUF- VENEER SHEETS-PLYWOOD & OTHER PANELS   ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"112","2022","MANUF -  BUILDERS' CARPENTRY AND JOINERY      ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"113","2022","MANUF -  BUILDERS' CARPENTRY AND JOINERY      ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"114","2023","MANUFACTURE OF WOODEN CONTAINERS    ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"115","2023","MANUFACTURE OF WOODEN CONTAINERS    ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"116","2029","MANUF-OTH WOOD-CORK,STRAW,PLAITING MATERIALS  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"117","2029","MANUF-OTH WOOD-CORK,STRAW,PLAITING MATERIALS  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"118","2101","MANUFACTURE OF PULP, PAPER AND PAPERBOARD   ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"119","2101","MANUFACTURE OF PULP, PAPER AND PAPERBOARD   ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"120","2102","MFG-CORRUGATED PAPER/PAPERBOARD & CONTAINERS  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"121","2102","MFG-CORRUGATED PAPER/PAPERBOARD & CONTAINERS  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"122","2109","MANUF-OTHER ARTICLES OF PAPER AND PAPERBOARD  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
"123","2109","MANUF-OTHER ARTICLES OF PAPER AND PAPERBOARD  ","MH","Forest Products     ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","WWW ","2016-07-04-05.06.14.067356"
"124","2211","PUBLISHING - BOOKS, BROCHURES & OTH PUBS   ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"125","2211","PUBLISHING - BOOKS, BROCHURES & OTH PUBS   ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"126","2212","PUBLISHING - NEWSPAPERS, JOURNALS,PERIODICALS  ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"127","2212","PUBLISHING - NEWSPAPERS, JOURNALS,PERIODICALS  ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"128","2213","PUBLISHING OF RECORDED MEDIA    ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"129","2213","PUBLISHING OF RECORDED MEDIA    ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"130","2219","OTHER PUBLISHING      ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"131","2219","OTHER PUBLISHING      ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"132","2221","PRINTING       ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"133","2221","PRINTING       ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"134","2222","SERVICE ACTIVITIES RELATED TO PRINTING   ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"135","2222","SERVICE ACTIVITIES RELATED TO PRINTING   ","KD","Printing & Publishing     ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"136","2230","REPRODUCTION OF RECORDED MEDIA    ","KC","Entertainment      ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","USU ","2016-04-05-16.17.59.906441"
"137","2230","REPRODUCTION OF RECORDED MEDIA    ","KC","Entertainment      ","K","Media & Entertainment","05","Media&Entertainment ","COMM","Communications","WWW ","2016-07-04-05.06.14.067356"
"138","2310","MANUFACTURE OF COKE OVEN PRODUCTS    ","MJ","Metals       ","M","Industrial Products","4D","Industrial Products ","INDU","Industrial","USU ","2016-04-05-16.17.59.906441"
